Team,Name,Number,Sets Played,Matches Played,Kills,Kills/Set,Errors,Total Attempts,Hitting Percentage,Assists,Assists/Set,Service Aces,Service Aces/Set,Digs,Digs/Set,Receptions,Reception Errors,Block Solo,Block Assist,Total Blocks,Blocks/Set,Points,Points/Set
Wentworth,Benjamin Moughon,25,53,20,48,0.91,13,84,.417,5,0.09,19,0.36,40,0.75,85,3,0,4,4,0.08,69.0,1.3
Lasell,Lee Naea,1,19,9,8,0.42,14,30,-.200,2,0.11,1,0.05,12,0.63,5,0,1,4,5,0.26,12.0,0.6
Lasell,Jan Baranowski,2,66,21,89,1.35,30,187,.316,5,0.08,22,0.33,28,0.42,2,0,8,39,47,0.71,138.5,2.1
Lasell,Jesus Garcia,7,107,31,19,0.18,8,64,.172,906,8.47,15,0.14,180,1.68,17,0,4,28,32,0.30,52.0,0.5
Lasell,Zak Burkett,8,63,27,14,0.22,9,37,.135,178,2.83,17,0.27,51,0.81,0,0,1,5,6,0.10,34.5,0.5
Lasell,Alex Weinhaus,9,94,28,1,0.01,2,13,-.077,43,0.46,0,0.00,144,1.53,500,37,0,0,0,0.00,1.0,0.0
Lasell,Rande Monahan,10,67,23,0,0.00,1,1,-1.000,2,0.03,1,0.01,26,0.39,51,4,0,0,0,0.00,1.0,0.0
Lasell,Brenden Joyce,11,76,22,227,2.99,71,539,.289,16,0.21,37,0.49,136,1.79,347,14,10,29,39,0.51,288.5,3.8
Lasell,Tucker Merritt,12,53,18,54,1.02,22,122,.262,7,0.13,8,0.15,11,0.21,5,0,8,33,41,0.77,86.5,1.6
Lasell,Riley Grenier,13,90,29,20,0.22,5,50,.300,3,0.03,12,0.13,28,0.31,5,0,1,6,7,0.08,36.0,0.4
Lasell,Theo Zaharewicz,14,91,27,214,2.35,93,509,.238,12,0.13,12,0.13,109,1.20,433,26,10,28,38,0.42,250.0,2.7
