Team,Name,Number,Sets Played,Matches Played,Kills,Kills/Set,Errors,Total Attempts,Hitting Percentage,Assists,Assists/Set,Service Aces,Service Aces/Set,Digs,Digs/Set,Receptions,Reception Errors,Block Solo,Block Assist,Total Blocks,Blocks/Set,Points,Points/Set
Lasell,Brian Mendoza,4,2,1,0,0.00,0,0,-,0,0.00,1,0.50,0,0.00,0,0,0,0,0,0.00,1.0,0.5
Lasell,Ryan Fuller,6,29,10,0,0.00,2,8,-.250,13,0.45,0,0.00,58,2.00,114,11,0,0,0,0.00,0.0,0.0
Lasell,Jesus Garcia,7,35,10,11,0.31,3,47,.170,299,8.54,4,0.11,51,1.46,6,0,4,11,15,0.43,24.5,0.7
Lasell,Bret Debelser,9,3,3,0,0.00,0,1,.000,0,0.00,0,0.00,0,0.00,0,0,0,0,0,0.00,0.0,0.0
Lasell,Rande Monahan,10,4,3,0,0.00,0,0,-,0,0.00,0,0.00,1,0.25,0,0,0,0,0,0.00,0.0,0.0
Lasell,Brenden Joyce,11,32,10,97,3.03,30,203,.330,6,0.19,10,0.31,46,1.44,152,11,4,10,14,0.44,116.0,3.6
Lasell,Cody Bonilla,12,31,10,0,0.00,0,4,.000,17,0.55,8,0.26,14,0.45,0,0,0,1,1,0.03,8.5,0.3
Lasell,Theo Zaharewicz,14,32,9,87,2.72,29,210,.276,6,0.19,9,0.28,40,1.25,158,14,7,9,16,0.50,107.5,3.4
Lasell,Dexter Thomas,15,27,10,32,1.19,6,58,.448,0,0.00,2,0.07,5,0.19,4,0,1,6,7,0.26,38.0,1.4
Lasell,Aidan Norris,16,8,4,6,0.75,2,15,.267,0,0.00,0,0.00,2,0.25,0,0,0,2,2,0.25,7.0,0.9
Lasell,Cole Esterline,17,3,2,6,2.00,1,7,.714,0,0.00,1,0.33,1,0.33,0,0,0,0,0,0.00,7.0,2.3
Lasell,Noah Thetford,19,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
Lasell,Carter Phillips,20,28,10,27,0.96,11,55,.291,2,0.07,0,0.00,2,0.07,5,1,7,29,36,1.29,48.5,1.7
Lasell,Josh Barahona,21,2,2,0,0.00,0,0,-,0,0.00,0,0.00,0,0.00,1,1,0,0,0,0.00,0.0,0.0
Lasell,Peyton Walter,22,7,4,0,0.00,0,0,-,0,0.00,0,0.00,0,0.00,1,0,0,0,0,0.00,0.0,0.0
Lasell,Jordan Shinaut,23,18,5,35,1.94,14,85,.247,0,0.00,5,0.28,14,0.78,0,0,2,10,12,0.67,47.0,2.6
Lasell,Nathan Carter,24,21,10,2,0.10,0,5,.400,5,0.24,0,0.00,28,1.33,98,19,0,0,0,0.00,2.0,0.1
Penn St Behrend,Daniel Easly,1,30,10,54,1.80,32,166,.133,3,0.10,5,0.17,31,1.03,138,11,1,7,8,0.27,63.5,2.1
Penn St Behrend,Joshua Elegeer,2,32,10,4,0.13,4,24,.000,19,0.59,2,0.06,87,2.72,202,10,0,0,0,0.00,6.0,0.2
Penn St Behrend,Alex Jackson,3,32,10,22,0.69,4,37,.486,228,7.13,10,0.31,40,1.25,0,0,1,12,13,0.41,39.0,1.2
Penn St Behrend,Joseph Sciscio,4,13,6,12,0.92,2,24,.417,0,0.00,0,0.00,2,0.15,2,0,1,6,7,0.54,16.0,1.2
Penn St Behrend,Cameron Schleicher,5,24,10,21,0.88,21,82,.000,1,0.04,3,0.13,38,1.58,73,9,2,8,10,0.42,30.0,1.3
Penn St Behrend,Josh Wingenbach,7,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
