Team,Name,Number,Sets Played,Matches Played,Kills,Kills/Set,Errors,Total Attempts,Hitting Percentage,Assists,Assists/Set,Service Aces,Service Aces/Set,Digs,Digs/Set,Receptions,Reception Errors,Block Solo,Block Assist,Total Blocks,Blocks/Set
NYU,Dasari Sachin,1,27,14,7,0.26,3,18,.222,158,5.85,3,0.11,38,1.41,1,1,0,8,8.0,0.30
NYU,Knudsen Zach,2,84,22,2,0.02,0,6,.333,59,0.70,0,0.00,225,2.68,12,487,0,0,0,0.00
NYU,Dasari Gautham,5,85,22,301,3.54,120,692,.262,26,0.31,22,0.26,128,1.51,1,6,5,32,37.0,0.44
NYU,Luu Brian,6,6,5,0,0.00,1,2,-.500,2,0.33,0,0.00,4,0.67,1,16,0,0,0,0.00
NYU,Osiecki Lucas,8,74,22,198,2.68,98,448,.223,18,0.24,25,0.34,107,1.45,19,432,4,14,18.0,0.24
NYU,Boyer Luke,9,58,19,159,2.74,58,387,.261,8,0.14,12,0.21,61,1.05,17,312,4,25,29.0,0.50
NYU,Allen Robert,10,22,10,26,1.18,9,57,.298,0,0.00,5,0.23,10,0.45,0,0,1,13,14.0,0.64
NYU,Li Ryan,11,69,19,44,0.64,23,97,.216,678,9.83,19,0.28,72,1.04,2,7,4,28,32.0,0.46
NYU,Upham Jake,12,6,5,9,1.50,6,25,.120,2,0.33,3,0.50,3,0.50,0,9,0,2,2.0,0.33
NYU,Cohen Buddy,13,75,20,103,1.37,34,218,.317,5,0.07,3,0.04,28,0.37,0,6,17,54,71.0,0.95
NYU,Feng Jerry,14,25,11,17,0.68,8,42,.214,0,0.00,3,0.12,11,0.44,1,35,0,4,4.0,0.16
NYU,Kagan Ry,15,78,22,90,1.15,34,196,.286,1,0.01,23,0.29,26,0.33,0,2,12,51,63.0,0.81
NYU,Candido Jack,16,8,6,1,0.13,3,6,-.333,0,0.00,0,0.00,3,0.38,0,0,0,2,2.0,0.25
NYU,Ebeling Angus,17,3,3,2,0.67,0,5,.400,0,0.00,0,0.00,1,0.33,0,0,0,0,0,0.00
NYU,Kellogg Brian,19,10,7,12,1.20,9,28,.107,2,0.20,3,0.30,10,1.00,0,0,0,5,5.0,0.50
NYU,Rasmussen Kyle,20,41,13,45,1.10,25,141,.142,3,0.07,1,0.02,48,1.17,6,193,1,13,14.0,0.34
NYU,Milchan Nate,25,7,3,5,0.71,3,15,.133,1,0.14,0,0.00,0,0.00,0,0,0,7,7.0,1.00
St John Fisher,Beiter Matt,1,105,31,139,1.32,47,315,.292,4,0.04,23,0.22,48,0.46,1,15,5,64,69.0,0.66
St John Fisher,Ciraolo Zach,2,21,11,41,1.95,17,86,.279,0,0.00,0,0.00,5,0.24,0,0,0,6,6.0,0.29
St John Fisher,Stella Griffin,3,104,30,183,1.76,30,337,.454,2,0.02,3,0.03,23,0.22,2,10,10,94,104.0,1.00
St John Fisher,Bigford Josh,4,102,30,324,3.18,46,836,.333,21,0.21,41,0.40,123,1.21,19,436,10,43,53.0,0.52
St John Fisher,Jackson Casey,5,94,31,66,0.70,28,169,.225,6,0.06,19,0.20,67,0.71,9,182,0,8,8.0,0.09
St John Fisher,la Robardiere Gabe,6,96,32,139,1.45,89,326,.153,3,0.03,4,0.04,36,0.38,1,1,17,52,69.0,0.72
St John Fisher,Brodsky Graham,7,15,10,18,1.20,8,45,.222,4,0.27,4,0.27,12,0.80,0,37,0,2,2.0,0.13
St John Fisher,Newman Gavin,8,106,32,32,0.30,18,93,.151,385,3.63,51,0.48,176,1.66,2,7,0,11,11.0,0.10
St John Fisher,Baker Jake,9,84,25,225,2.68,99,576,.219,14,0.17,22,0.26,113,1.35,42,554,6,38,44.0,0.52
St John Fisher,Calhoun Aiden,10,21,13,4,0.19,2,11,.182,39,1.86,7,0.33,25,1.19,1,2,0,1,1.0,0.05
St John Fisher,DeMaria Jack,11,6,4,0,0.00,0,0,0,2,0.33,0,0.00,4,0.67,0,7,0,0,0,0.00
St John Fisher,La Robardiere Trace,12,116,32,1,0.01,1,14,.000,64,0.55,0,0.00,255,2.20,30,619,0,0,0,0.00
St John Fisher,Miller Gavin,13,26,13,1,0.04,1,2,.000,4,0.15,4,0.15,11,0.42,4,33,0,0,0,0.00
St John Fisher,Gardner Owen,14,8,7,8,1.00,1,17,.412,0,0.00,1,0.13,4,0.50,1,13,0,1,1.0,0.13
