Team,Name,Number,Sets Played,Matches Played,Kills,Kills/Set,Errors,Total Attempts,Hitting Percentage,Assists,Assists/Set,Service Aces,Service Aces/Set,Digs,Digs/Set,Receptions Errors,Receptions,Block Solo,Block Assist,Total Blocks,Blocks/Set
Kean,Wady Duran,5,8,6,0,0.00,0,2,.000,31,3.88,1,0.13,5,0.63,0,0,0,1,1.0,0.13
Kean,David Flores,6,57,20,3,0.05,9,31,-.194,308,5.40,4,0.07,69,1.21,0,2,0,4,4.0,0.07
Kean,Aidan Flinn,8,68,21,147,2.16,75,416,.173,11,0.16,11,0.16,136,2.00,16,411,4,14,18.0,0.26
Kean,Armen Fregenti,9,4,2,0,0.00,0,0,0,1,0.25,2,0.50,2,0.50,0,3,0,0,0,0.00
Kean,Sean Murphy,11,65,22,104,1.60,75,299,.097,10,0.15,13,0.20,81,1.25,13,284,3,14,17.0,0.26
Kean,Chris Mitchell,12,65,21,251,3.86,82,593,.285,6,0.09,13,0.20,100,1.54,0,13,6,25,31.0,0.48
Kean,Danny Pugliano,15,71,21,174,2.45,55,330,.361,8,0.11,15,0.21,36,0.51,0,17,3,39,42.0,0.59
Kean,Samir Conte,16,4,3,2,0.50,2,6,.000,0,0.00,0,0.00,1,0.25,0,0,0,2,2.0,0.50
Kean,Ro Danville,17,7,5,6,0.86,6,20,.000,0,0.00,1,0.14,0,0.00,0,10,0,0,0,0.00
Kean,Machi Shearn,18,8,6,8,1.00,2,13,.462,0,0.00,1,0.13,1,0.13,0,0,2,5,7.0,0.88
Kean,Tyler Iozzi,20,28,17,21,0.75,15,64,.094,3,0.11,0,0.00,25,0.89,4,88,2,6,8.0,0.29
Kean,Nick Huzar,21,65,21,96,1.48,23,186,.392,4,0.06,2,0.03,22,0.34,0,5,8,30,38.0,0.58
Kean,Tyler Quinn,22,74,22,4,0.05,4,21,.000,38,0.51,0,0.00,201,2.72,16,446,0,0,0,0.00
Kean,Brandon Millias,23,43,14,17,0.40,3,59,.237,405,9.42,7,0.16,72,1.67,3,6,0,8,8.0,0.19
Kean,Zach Marcheschi,25,14,8,3,0.21,4,18,-.056,0,0.00,1,0.07,3,0.21,0,0,0,1,1.0,0.07
Marymount,Esteban Jauregui,1,74,20,144,1.95,66,357,.218,19,0.26,25,0.34,74,1.00,17,346,11,10,21.0,0.28
Marymount,Evan Cao,2,74,21,20,0.27,10,59,.169,338,4.57,17,0.23,55,0.74,0,2,2,8,10.0,0.14
Marymount,Joseph Roche,3,31,16,0,0.00,0,0,0,1,0.03,0,0.00,7,0.23,1,8,0,0,0,0.00
Marymount,Joseph Crowder,4,7,2,0,0.00,0,1,.000,23,3.29,1,0.14,3,0.43,0,0,0,0,0,0.00
Marymount,Diego Peña,5,79,22,240,3.04,73,546,.306,72,0.91,16,0.20,116,1.47,2,18,7,29,36.0,0.46
Marymount,Benjamin Miller,6,6,4,0,0.00,0,0,0,0,0.00,0,0.00,0,0.00,0,0,0,0,0,0.00
Marymount,Ethan Li,8,76,22,133,1.75,56,332,.232,21,0.28,14,0.18,71,0.93,24,276,4,12,16.0,0.21
Marymount,Carlos Morales,9,6,2,0,0.00,0,0,0,5,0.83,0,0.00,8,1.33,0,0,0,0,0,0.00
